port_id,time,symbol,side,price,fee,feeAsset,quantity,quantityAsset,realizedProfit,realizedProfitAsset,baseAsset,qty,positionSide,activeBuy,ROI,PnL,std_dev,Sharpe Ratio,win_positions,total_positions,Win Rate,Win Positions,Total Positions
3946087913459823360,0.9947319620273913,73,1,9.064419963233927e-08,0.9999999722726435,0,0.0,0,0.2853833652859009,0,73,4.7571428573710967e-08,0,0,inf,0.2853833652859009,,,1,1,100.0,6085,6085
3956076827719377409,0.21473064294477862,3,0,1.1616947533099609e-07,0.999999964635168,0,3.0558203827600605e-09,0,0.2853833652859009,0,3,4.7571428573710967e-08,1,1,9339009808.82059,0.2853833652859009,149240889.6648808,62.57674977542186,1,1,100.0,3916,3916
3946087913459823360,0.994387149204057,67,1,2.2909645715218918e-08,0.999999962476751,0,3.911715741470104e-09,0,0.2853833652859009,0,67,2.3804761905893077e-07,0,0,7295605921.984709,0.2853833652859009,,,1,1,100.0,6085,6085
3949214983441029120,0.9481774096688755,3,1,1.4428125683085824e-07,0.9999999561675321,0,6.421290589964795e-09,0,0.28538338580015665,0,3,4.7571428573710967e-08,1,0,4444330649.763061,0.28538338580015665,98123875.73547225,45.29306059765038,1,1,100.0,4530,4530
3949214983441029120,0.9532452710695484,3,1,1.5032938110309813e-07,0.9999999544241953,0,7.1453564792420265e-09,0,0.28538343688501816,0,3,4.7571428573710967e-08,1,0,3993970597.7453403,0.28538343688501816,98123875.73547225,40.7033514301097,1,1,100.0,4530,4530
3991414786174551297,0.4820032005109709,3,1,1.6759448065450933e-07,0.999999949194185,0,9.212289809679489e-09,0,0.2853836451876437,0,3,4.7571428573710967e-08,1,0,3097857873.3789606,0.2853836451876437,175638434.55880013,17.63769918105175,1,1,100.0,311,311
3949214983441029120,0.7331407164161373,3,1,1.9522501950447468e-07,0.9999999409755972,0,1.2520146886255135e-08,0,0.2853833652859009,0,3,4.7571428573710967e-08,2,0,2279393108.3923655,0.2853833652859009,98123875.73547225,23.22975006141501,1,1,100.0,4530,4530
3932103299427844097,0.12222631060692835,3,0,1.0233270947290762e-07,0.9999999374889237,0,1.3912823950855066e-08,0,0.2853833652859009,0,3,9.519047619501592e-08,1,1,2051225303.3170998,0.2853833652859009,40520800.25404899,50.62153981305277,1,1,100.0,2589,2589
3788465932399412480,0.13959731724823943,14,1,2.442852789497074e-06,0.9999999268628709,0,1.8157267975184993e-08,0,0.2853833687776891,0,14,4.714285714514828e-09,1,0,1571730775.6195161,0.2853833687776891,37527879.79366405,41.88168327817113,1,1,100.0,3069,3069
3946087913459823360,0.9814400833721921,152,1,2.4342139989114164e-07,0.9999999265308067,0,1.829009363689578e-08,0,0.2853833519551265,0,152,4.7571428573710967e-08,0,0,1560316516.8024921,0.2853833519551265,,,1,1,100.0,6085,6085
3949214983441029120,0.9607434071903886,6,0,2.5501560282220614e-07,0.9999999230441331,0,1.9678121803475696e-08,0,0.28538338518909373,0,6,4.7571428573710967e-08,2,1,1450257235.1121805,0.28538338518909373,98123875.73547225,14.779860907877955,1,1,100.0,4530,4530
3946087913459823360,0.9931085647416931,94,1,2.6844046935314836e-07,0.9999999190593633,0,2.1285312311759147e-08,0,0.2853833472228805,0,94,4.7571428573710967e-08,0,0,1340752454.2884881,0.2853833472228805,,,1,1,100.0,6085,6085
3788465932399412480,0.05023525568410825,14,1,2.83672284099451e-06,0.9999999150745935,0,2.2872578971013663e-08,0,0.28538339639947974,0,14,4.714285714514828e-09,1,0,1247709743.4493291,0.28538339639947974,37527879.79366405,33.247541569347696,1,1,100.0,3069,3069
3891020560590657281,0.05092796690414014,3,0,1.0645308948925569e-07,0.9999999024561558,0,2.79061734588526e-08,0,0.2853833985914498,0,3,1.4280952381632087e-07,2,1,1022653281.4047221,0.2853833985914498,48905931.55214145,20.910618588553255,1,1,100.0,437,437
3784403294629753856,0.39287390688742396,6,1,3.5008529305352587e-07,0.9999998945696321,0,3.105962070350243e-08,0,0.2853833652859009,0,6,4.7571428573710967e-08,2,0,918824373.3244293,0.2853833652859009,12132504.36850924,75.73245765394505,1,1,100.0,6050,6050
3994879592543698688,0.7394605492089168,6,1,3.561597677961825e-07,0.9999998928262953,0,3.178684120216588e-08,0,0.2853833512628795,0,6,4.7571428573710967e-08,1,0,897803432.0800463,0.2853833512628795,39734865.8570192,22.59485247315736,1,1,100.0,653,653
3826087012661391104,0.8227451883376126,0,0,3.621926365424133e-07,0.9999999564165802,0,3.250908073835525e-08,0,0.2853846158698477,0,0,4.7571428573710967e-08,2,0,877861229.5029981,0.2853846158698477,84384569.467386,10.403101361348828,1,1,100.0,108,108
4022641794255717633,0.8392599483706437,35,1,1.2768740060425943e-07,0.9999999534280029,0,3.553252486644329e-08,0,0.2853833652859009,0,35,1.4280952381632087e-07,2,1,803160952.8413088,0.2853833652859009,15798727.967711443,50.83706450815308,1,1,100.0,6052,6052
3988187872032603905,0.6484039293233993,75,0,4.1930379399840456e-07,0.9999998738986388,0,3.934628168222008e-08,0,0.28538339630258264,0,75,4.7571428573710967e-08,2,1,725312238.1613573,0.28538339630258264,12671184.051028842,57.24107827969441,1,1,100.0,5238,5238
3949214983441029120,0.8875692277311277,35,0,1.397670067668222e-07,0.9999998725703821,0,3.9870943046704105e-08,0,0.285383545815716,0,35,1.4280952381632087e-07,2,1,715768236.2351522,0.285383545815716,98123875.73547225,7.294536939865275,1,1,100.0,4530,4530
